experiment,family,rmse,mse,mae,r2,rmse_improvement_pct,r2_change
E4_tabular_only,Champion,126792.09431119269,16076235179.818382,68134.33343533987,0.8720892236710663,0.0,0.0
E4_tabular_only,RF,150322.9256868353,22596981987.04981,74637.14308463623,0.8202068160658045,-18.558595079192894,-0.05188240760526186
E4B_image_only_rn18,Champion,329239.506069325,108398652356.77312,214754.71766993086,0.13752469898106567,-159.66879706336795,-0.7345645246900007
E4B_image_only_rn18,RF,329539.3340887308,108596172711.64415,218723.32334268835,0.13595312568360374,-159.90526923541825,-0.7361360979874626
E5_mm_rn18,Champion,139807.697474577,19546192273.142845,74298.88076036866,0.8444804644889159,-10.265311283083163,-0.027608759182150444
E5_mm_rn18,RF,164122.53535237952,26936206610.49307,82957.79312321235,0.7856817183646323,-29.442246572222956,-0.08640750530643404
E5B_mm_rn50,Champion,146988.2516001086,21605546108.45683,76654.61952764977,0.8280951886538335,-15.928561949097073,-0.04399403501723287
E5B_mm_rn50,RF,159392.5873598751,25405996905.275417,82877.92116615166,0.7978568519796326,-25.71177108934667,-0.07423237169143371
