experiment,model,rmse,mse,mae,r2
E1_original_5feat,LinearRegression,233404.7190360145,54477762868.28086,148642.45329088642,0.5981929602119784
E1_original_5feat,RandomForest,162476.0296484629,26398460210.328197,85696.32693436123,0.8052951040276708
E1_original_5feat,XGBoost,168187.44640691817,28287017128.879974,85813.80311627095,0.7913658340840934
E2_full_tabular,LinearRegression,195083.10109462833,38057416332.69698,123752.97440353583,0.7193031249173276
E2_full_tabular,RandomForest,131183.22101836497,17209037476.753193,69353.09600676222,0.8730727540546392
E2_full_tabular,XGBoost,115068.58492328045,13240779236.246204,64464.30196209652,0.9023411015928401
E3_engineered_tabular,LinearRegression,153028.5011493232,23417722164.008408,95833.49023660827,0.8272798821778143
E3_engineered_tabular,RandomForest,124170.10934848209,15418216055.613998,67760.51331072093,0.8862811645350167
E3_engineered_tabular,XGBoost,110642.12426197612,12241679661.202564,62184.687490301054,0.9097100760434318
