model,rmse,mse,mae,r2,blend_weights
XGBoost_tuned,103802.76318394655,10775013644.622488,61172.14421118482,0.9205276408524826,
CatBoost_tuned,102801.08825642464,10568063746.705208,61584.43524176698,0.922054023756047,
LightGBM,111881.51664650001,12517473767.121058,62943.806571278445,0.9076759247226804,
StackedBlend_Ridge,101636.78757678616,10330036588.928753,60905.28474645904,0.9238096205834453,"{'XGBoost_tuned': np.float64(0.1797269831428187), 'CatBoost_tuned': np.float64(0.6297173978600136), 'LightGBM': np.float64(0.21735981875293853)}"
