variant,rmse,r2
tabular_only,126792.09431119269,0.8720892236710663
img_only_pca8,353609.3424276033,0.005121042671493603
tabular_pca_pca8,131007.44416585585,0.8634427595366438
img_only_pca16,339363.58432649064,0.08366714107173512
tabular_pca_pca16,135338.74249311083,0.8542639287232093
img_only_pca32,337845.7485406903,0.09184558172337998
tabular_pca_pca32,131794.45895379977,0.8617971220088346
img_only_pca64,334221.025543457,0.1112280924171205
tabular_pca_pca64,134869.05770086028,0.8552737096523619
