id,has_file,valid
225039177,False,False
225069013,False,False
225069016,False,False
225069017,True,True
225079036,False,False
226039075,True,True
226039214,True,True
226039270,False,False
226039279,False,False
226039282,True,True
226039316,False,False
226039317,False,False
226059078,False,False
226059103,False,False
226059106,True,True
226059120,True,True
226059121,False,False
226059161,False,False
226109056,False,False
235000075,False,False
236400130,False,False
236400260,False,False
236400320,False,False
236500010,False,False
238000201,False,False
239000155,False,False
240000031,True,True
240000058,True,True
241900020,False,False
241900060,False,False
241900160,False,False
243000045,False,False
243000335,True,True
243000380,False,False
249000115,False,False
249000205,True,True
250000010,False,False
250000090,False,False
250000320,False,False
251100020,False,False
251200200,False,False
251300110,True,True
251300260,True,True
251500080,True,True
251610020,False,False
251620090,False,False
251620110,False,False
252000300,False,False
252000400,False,False
253600150,False,False
253600160,False,False
254000020,False,False
254000175,False,False
254000241,False,False
254000445,False,False
254000545,False,False
254000735,True,True
255000270,False,False
255000320,False,False
255370020,False,False
255370420,True,True
255370570,True,True
255400060,False,False
255400070,False,False
255450030,False,False
255450040,False,False
255450340,False,False
255450380,False,False
255450390,False,False
255450410,False,False
255460240,False,False
255460330,False,False
255470030,False,False
255520150,True,True
255520260,False,False
255550100,True,True
255550150,True,True
255550190,True,True
255550230,False,False
255550270,False,False
255580190,True,True
257000038,True,True
257000057,False,False
257000138,False,False
257000263,False,False
258100040,False,False
258500059,False,False
259000100,True,True
259100110,True,True
259500230,True,True
259500270,True,True
259600050,False,False
259600260,False,False
259600280,True,True
259600330,False,False
259600410,True,True
259600530,False,False
259600560,False,False
259600890,False,False
259600910,False,False
259601100,False,False
259700180,False,False
259800410,False,False
259800610,True,True
259800640,False,False
259800680,True,True
259800750,True,True
259801030,False,False
259801110,False,False
259801140,False,False
259900160,False,False
259900320,False,False
263000009,False,False
263000040,False,False
263000050,False,False
263000164,True,True
263000255,False,False
263000280,False,False
263000291,True,True
263000324,True,True
263000325,True,True
263000327,False,False
263000329,False,False
263000359,False,False
267000130,True,True
267000170,False,False
267010020,True,True
267020090,False,False
268500020,False,False
269000070,True,True
269000085,False,False
269000221,True,True
269000240,True,True
269000615,False,False
269000950,True,True
269001331,False,False
269001360,True,True
272000085,False,False
272000125,False,False
272000220,False,False
272000320,False,False
272000355,False,False
272000620,False,False
272000945,False,False
274000020,False,False
274000070,False,False
282500010,False,False
284000025,True,True
284000223,True,True
290000055,False,False
290000095,True,True
291300170,False,False
291300280,True,True
291310120,False,False
291310180,True,True
291310260,False,False
291310270,True,True
291310370,False,False
291310610,False,False
292000070,False,False
293000036,False,False
293000068,True,True
293000165,False,False
293000180,True,True
293070010,False,False
293070090,True,True
293070120,False,False
293070270,False,False
293070310,False,False
293600080,False,False
293610020,False,False
293620180,False,False
293670040,False,False
293720140,True,True
293720180,False,False
293760050,True,True
293760210,False,False
293760310,True,True
293800120,False,False
293800410,True,True
293800680,True,True
293800870,True,True
293800900,False,False
293910030,True,True
293910070,False,False
301400240,False,False
301400320,False,False
301400800,False,False
301400850,False,False
301400930,False,False
301400940,False,False
301401390,False,False
301401410,False,False
301401610,False,False
301401620,False,False
301401630,True,True
301402120,True,True
301402140,False,False
302000375,False,False
302000545,False,False
303000220,False,False
303000445,False,False
303100080,False,False
303800020,True,True
304000530,False,False
304100010,False,False
304100070,False,False
304100090,True,True
305000310,False,False
305010190,True,True
305500140,True,True
306000565,False,False
312000135,False,False
312000265,False,False
312000295,True,True
316000145,False,False
316000160,False,False
316000190,False,False
318390180,True,True
318900120,False,False
319500570,False,False
321030010,False,False
321030070,True,True
321049090,True,True
321049127,False,False
321049193,False,False
321059059,False,False
321059091,False,False
321059132,True,True
321079066,False,False
322059049,False,False
322059095,False,False
322059161,False,False
322059210,False,False
322059311,False,False
322059326,False,False
322069010,True,True
322069153,False,False
323049148,False,False
323049176,False,False
323059146,True,True
323059167,True,True
323059316,False,False
323059327,True,True
323069120,False,False
323069158,True,True
323079058,False,False
323079065,False,False
323079101,False,False
323089005,True,True
323089084,True,True
323089095,False,False
323089134,True,True
323089159,True,True
323089173,False,False
324000350,False,False
324000370,True,True
324000530,True,True
324059076,False,False
324059112,True,True
324069015,False,False
324069058,False,False
324069112,True,True
325049234,True,True
325059086,True,True
325059126,False,False
325059131,True,True
325059171,False,False
325059277,False,False
325059286,False,False
325059287,False,False
326049024,True,True
326049058,False,False
326049111,False,False
326069026,False,False
326069027,True,True
326069101,False,False
326069104,False,False
326069118,False,False
326069164,False,False
327000050,False,False
327000165,False,False
328000160,False,False
328000182,True,True
333100265,False,False
333100295,False,False
339200130,True,True
339350070,False,False
339500160,False,False
339600010,True,True
339600070,True,True
339600090,True,True
339600190,False,False
339600460,False,False
342000570,False,False
345700150,True,True
345700180,True,True
345700340,False,False
349400100,True,True
363000045,False,False
366000095,True,True
369000045,False,False
369000881,False,False
372000040,True,True
375000165,False,False
375000230,True,True
381000110,False,False
381000240,False,False
387000190,False,False
390100060,False,False
393000045,False,False
393000311,False,False
393000385,False,False
395300100,False,False
395300330,False,False
395300650,False,False
395800370,False,False
399000025,False,False
399000195,False,False
402000110,False,False
402000145,False,False
402000260,False,False
405100295,False,False
408100050,False,False
408100105,False,False
408100110,False,False
408100150,False,False
411100005,False,False
411100020,False,False
414100280,False,False
414100295,False,False
415100010,False,False
415100015,False,False
415100085,False,False
418000145,False,False
418000310,False,False
418000330,False,False
418000415,False,False
419000015,False,False
419000035,False,False
420069021,False,False
421000185,False,False
421000215,False,False
421000430,False,False
421000465,False,False
421000500,False,False
421000555,False,False
421049116,False,False
421049170,False,False
421049254,False,False
421069081,False,False
421079105,False,False
421079142,False,False
422000010,False,False
422000075,False,False
423000035,False,False
423049067,False,False
423059039,False,False
423059077,False,False
423059184,False,False
423059360,False,False
423059369,False,False
423059409,False,False
424000145,False,False
424049039,False,False
424049059,False,False
424049283,False,False
424049284,False,False
424059052,False,False
424059100,False,False
424069010,False,False
424069088,False,False
424069130,False,False
424069150,False,False
424069233,False,False
424069250,False,False
424069271,False,False
424069275,False,False
424069279,False,False
424500035,False,False
424500100,False,False
425000065,False,False
425000175,False,False
425000230,False,False
425049036,False,False
425049146,False,False
425049181,False,False
425059103,False,False
425069102,False,False
